Bitfeld,rm0351-stm32l47xxx-stm32l48xxx-stm32l49xxx-and-stm32l4axxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0394-stm32l41xxx42xxx43xxx44xxx45xxx46xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0399-stm32h745755-and-stm32h747757-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0432-stm32l4-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0433-stm32h742-stm32h743753-and-stm32h750-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0436-stm32mp157-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,rm0438-stm32l5-series-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0441-stm32mp151-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,rm0442-stm32mp153-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf,rm0455-stm32h7a37b3-and-stm32h7b0-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0468-stm32h723733-stm32h725735-and-stm32h730-value-line-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,rm0475-stm32mp13xx-advanced-armbased-32bit-mpus-stmicroelectronics_dfsdm.pdf
AWLTF,7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],3:0 -> [3:0]
BKAWH,3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0]
BKAWL,3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0],3:0 -> [3:0]
BKSCD,15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0],15:12 -> [3:0]
CHEN,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
CHINSEL,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
CKABEN,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
CKABF,23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],19:16 -> [3:0]
CKABIE,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
CKOUTDIV,23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0]
CKOUTSRC,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
CLRAWHTF,15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],11:8 -> [3:0]
CLRAWLTF,7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],3:0 -> [3:0]
CLRCKABF,23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],19:16 -> [3:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],23:16 -> [7:0],19:16 -> [3:0]
CLRJOVRF,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CLRROVRF,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CLRSCDF,31:24 -> [7:0],27:24 -> [3:0],31:24 -> [7:0],27:24 -> [3:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],27:24 -> [3:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],27:24 -> [3:0]
CNVCNT,31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0],31:4 -> [27:0]
DATMPX,13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0],13:12 -> [1:0]
DATPACK,15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0],15:14 -> [1:0]
DFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFSDMEN,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
DTRBS,7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0],7:3 -> [4:0]
EXCH,15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],11:8 -> [3:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],15:8 -> [7:0],11:8 -> [3:0]
EXMAX,31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0]
EXMAXCH,2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],1:0 -> [1:0]
EXMIN,31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0]
EXMINCH,2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],1:0 -> [1:0]
FAST,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
FORD,31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0],31:29 -> [2:0]
FOSR,25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0],25:16 -> [9:0]
ID,,,,,,,,,31:0 -> [31:0],,31:0 -> [31:0],31:0 -> [31:0],,,31:0 -> [31:0]
INDAT0,15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0]
INDAT1,31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0],31:16 -> [15:0]
IOSR,7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0]
JCHG,7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],3:0 -> [3:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],3:0 -> [3:0]
JCIP,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
JDATA,31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0]
JDATACH,2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],1:0 -> [1:0]
JDMAEN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
JEOCF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEOCIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEXTEN,14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0],14:13 -> [1:0]
JEXTSEL,10:8 -> [2:0],10:8 -> [2:0],12:8 -> [4:0],10:8 -> [2:0],12:8 -> [4:0],10:8 -> [2:0],12:8 -> [4:0],12:8 -> [4:0],12:8 -> [4:0],12:8 -> [4:0],12:8 -> [4:0],12:8 -> [4:0],12:8 -> [4:0],12:8 -> [4:0],12:8 -> [4:0]
JOVRF,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
JOVRIE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
JSCAN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
JSWSTART,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JSYNC,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MAJREV,,,,,,,,,7:4 -> [3:0],,7:4 -> [3:0],7:4 -> [3:0],,,7:4 -> [3:0]
MINREV,,,,,,,,,3:0 -> [3:0],,3:0 -> [3:0],3:0 -> [3:0],,,3:0 -> [3:0]
NBF,,,,,,,,,15:8 -> [7:0],,15:8 -> [7:0],15:8 -> [7:0],,,15:8 -> [7:0]
NBT,,,,,,,,,7:0 -> [7:0],,7:0 -> [7:0],7:0 -> [7:0],,,7:0 -> [7:0]
OFFSET,31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0]
PLSSKP,,,,,,,5:0 -> [5:0],,5:0 -> [5:0],5:0 -> [5:0],5:0 -> [5:0],5:0 -> [5:0],5:0 -> [5:0],5:0 -> [5:0],5:0 -> [5:0]
RCH,26:24 -> [2:0],25:24 -> [1:0],26:24 -> [2:0],25:24 -> [1:0],26:24 -> [2:0],26:24 -> [2:0],26:24 -> [2:0],26:24 -> [2:0],26:24 -> [2:0],25:24 -> [1:0],26:24 -> [2:0],26:24 -> [2:0],26:24 -> [2:0],26:24 -> [2:0],25:24 -> [1:0]
RCIP,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
RCONT,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
RDATA,31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0],31:8 -> [23:0]
RDATACH,2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],1:0 -> [1:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],2:0 -> [2:0],1:0 -> [1:0]
RDMAEN,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
REOCF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
REOCIE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RESERVED,11:8; 11:9; 12:11; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:11; 12:5; 15; 15:12; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:20; 23:22; 28:26; 29:24; 2:0; 31; 31:12; 31:16; 31:20; 31:24; 31:28; 31:4; 3:0; 3:2; 4; 7; 7:2; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:11; 12:5; 15; 15:12; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:20; 23:22; 28:26; 29:24; 2:0; 31; 31:12; 31:16; 31:20; 31:24; 31:28; 31:4; 3:0; 3:2; 4; 7; 7:2; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:11; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:6; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:6; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:12; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:20; 23:22; 28:26; 29:24; 2:0; 31; 31:12; 31:16; 31:20; 31:24; 31:28; 31:4; 31:6; 3:0; 3:2; 4; 7; 7:2; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:6; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:6; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:6; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:22; 28:26; 28:27; 29:24; 2:0; 3; 31; 31:16; 31:24; 31:6; 31:8; 3:0; 4; 7; 7:3; 7:4; 7:5; 7:6,11:8; 11:9; 12:5; 15; 15:12; 15:4; 15:8; 16:15; 1:0; 2; 20; 21; 23:20; 23:22; 28:26; 29:24; 2:0; 31; 31:12; 31:16; 31:20; 31:24; 31:28; 31:4; 31:6; 31:8; 3:0; 3:2; 4; 7; 7:2; 7:4; 7:5; 7:6
ROVRF,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ROVRIE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RPEND,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
RSWSTART,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
RSYNC,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
SCDEN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SCDF,31:24 -> [7:0],27:24 -> [3:0],31:24 -> [7:0],27:24 -> [3:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],27:24 -> [3:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],31:24 -> [7:0],27:24 -> [3:0]
SCDIE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SCDT,7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0],7:0 -> [7:0]
SID,,,,,,,,,31:0 -> [31:0],,31:0 -> [31:0],31:0 -> [31:0],,,31:0 -> [31:0]
SITP,1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0],1:0 -> [1:0]
SPICKSEL,3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0],3:2 -> [1:0]
WDATA,15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0],15:0 -> [15:0]
