PDF,Seite,Bitfeld,Registerbits,Feldbits
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,JSYNC,3,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,RESERVED,2,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,JSWSTART,1,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,DFEN,0,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,RESERVED,31:20,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,AWDCH,19:16,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,RESERVED,15:12,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,EXCH,11:8,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,RESERVED,7,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,CKABIE,6,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,SCDIE,5,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,AWDIE,4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,ROVRIE,3,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,JOVRIE,2,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,REOCIE,1,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,JEOCIE,0,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,RESERVED,31:28,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,SCDF,27:24,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,RESERVED,23:20,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,CKABF,19:16,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,RESERVED,15,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,RCIP,14,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,JCIP,13,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,RESERVED,12:5,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,AWDF,4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,ROVRF,3,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,JOVRF,2,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,REOCF,1,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,JEOCF,0,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,RESERVED,31:28,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,CLRSCDF,27:24,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,RESERVED,23:20,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,CLRCKABF,19:16,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,RESERVED,15:4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,CLRROVRF,3,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,CLRJOVRF,2,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,RESERVED,1:0,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,43,RESERVED,31:4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,43,JCHG,3:0,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,43,FORD,31:29,2:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,43,RESERVED,28:26,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,FOSR,25:16,9:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,RESERVED,15:8,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,IOSR,7:0,7:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,JDATA,31:8,23:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,RESERVED,7:2,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,JDATACH,1:0,1:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,RDATA,31:8,23:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,RESERVED,7:5,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,RPEND,4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,RESERVED,3:2,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,RDATACH,1:0,1:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,AWHT,31:8,23:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,RESERVED,7:4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,BKAWH,3:0,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,AWLT,31:8,23:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,RESERVED,7:4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,BKAWL,3:0,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,47,RESERVED,31:12,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,47,AWHTF,11:8,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,47,RESERVED,7:4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,47,AWLTF,3:0,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,47,RESERVED,31:12,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,48,CLRAWHTF,11:8,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,48,RESERVED,7:4,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,48,CLRAWLTF,3:0,3:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,48,EXMAX,31:8,23:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,48,RESERVED,7:2,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,48,EXMAXCH,1:0,1:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,49,EXMIN,31:8,23:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,49,RESERVED,7:2,
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,49,EXMINCH,1:0,1:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,49,CNVCNT,31:4,27:0
rm0402-stm32f412-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,49,RESERVED,3:0,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,30,DFSDMEN,31,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,30,CKOUTSRC,30,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,30,RESERVED,29:24,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,30,CKOUTDIV,23:16,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,30,DATPACK,15:14,1:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,DATMPX,13:12,1:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,RESERVED,11:9,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,CHINSEL,8,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,CHEN,7,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,CKABEN,6,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,SCDEN,5,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,RESERVED,4,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,SPICKSEL,3:2,1:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,31,SITP,1:0,1:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,32,OFFSET,31:8,23:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,32,DTRBS,7:3,4:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,32,RESERVED,2:0,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,33,RESERVED,31:24,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,33,AWFORD,23:22,1:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,33,RESERVED,21,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,33,AWFOSR,20:16,4:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,33,BKSCD,15:12,3:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,33,RESERVED,11:8,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,33,SCDT,7:0,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,RESERVED,31:16,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,WDATA,15:0,15:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,INDAT1,31:16,15:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,INDAT0,15:0,15:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,RESERVED,31,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,AWFSEL,30,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,FAST,29,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,RESERVED,28:27,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,RCH,26:24,2:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,RESERVED,23:22,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,RDMAEN,21,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,RESERVED,20,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,RSYNC,19,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,RCONT,18,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,RSWSTART,17,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,RESERVED,16:15,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,JEXTEN,14:13,1:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,JEXTSEL,12:8,4:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,RESERVED,7:6,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,JDMAEN,5,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,JSCAN,4,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,JSYNC,3,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,RESERVED,2,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,JSWSTART,1,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,DFEN,0,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,RESERVED,31:24,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,AWDCH,23:16,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,EXCH,15:8,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,RESERVED,7,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,CKABIE,6,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,SCDIE,5,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,AWDIE,4,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,ROVRIE,3,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,JOVRIE,2,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,REOCIE,1,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,38,JEOCIE,0,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,SCDF,31:24,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,CKABF,23:16,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,RESERVED,15,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,RCIP,14,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,JCIP,13,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,RESERVED,12:5,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,39,AWDF,4,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,ROVRF,3,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,JOVRF,2,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,REOCF,1,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,40,JEOCF,0,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,CLRSCDF,31:24,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,CLRCKABF,23:16,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,RESERVED,15:4,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,CLRROVRF,3,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,CLRJOVRF,2,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,RESERVED,1:0,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,RESERVED,31:8,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,41,JCHG,7:0,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,FORD,31:29,2:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,RESERVED,28:26,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,FOSR,25:16,9:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,RESERVED,15:8,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,42,IOSR,7:0,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,43,JDATA,31:8,23:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,43,RESERVED,7:3,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,43,JDATACH,2:0,2:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,RDATA,31:8,23:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,RESERVED,7:5,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,RPEND,4,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,RESERVED,3,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,RDATACH,2:0,2:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,AWHT,31:8,23:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,RESERVED,7:4,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,44,BKAWH,3:0,3:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,AWLT,31:8,23:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,RESERVED,7:4,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,BKAWL,3:0,3:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,RESERVED,31:16,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,AWHTF,15:8,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,45,AWLTF,7:0,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,RESERVED,31:16,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,CLRAWHTF,15:8,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,CLRAWLTF,7:0,7:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,EXMAX,31:8,23:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,RESERVED,7:3,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,46,EXMAXCH,2:0,2:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,47,EXMIN,31:8,23:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,47,RESERVED,7:3,
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,47,EXMINCH,2:0,2:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,48,CNVCNT,31:4,27:0
rm0410-stm32f76xxx-and-stm32f77xxx-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,48,RESERVED,3:0,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,DFSDMEN,31,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,CKOUTSRC,30,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,RESERVED,29:24,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,CKOUTDIV,23:16,7:0
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,34,DATPACK,15:14,1:0
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,DATMPX,13:12,1:0
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,RESERVED,11:9,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,CHINSEL,8,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,CHEN,7,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,CKABEN,6,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,SCDEN,5,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,RESERVED,4,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,SPICKSEL,3:2,1:0
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,35,SITP,1:0,1:0
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,OFFSET,31:8,23:0
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,DTRBS,7:3,4:0
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,36,RESERVED,2:0,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,RESERVED,31:24,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,AWFORD,23:22,1:0
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,RESERVED,21,
rm0430-stm32f413423-advanced-armbased-32bit-mcus-stmicroelectronics_dfsdm.pdf,37,AWFOSR,20:16,4:0
